Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication_Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Cyber vulnerability disclosure policies for the smart grid,A. Hahn; M. Govindarasu,"Department of Electrical and Computer Engineering, Iowa State University, Ames, IA 50011",2012 IEEE Power and Energy Society General Meeting,20121110,2012,,,1,5,"As smart grid technologies become more widely deployed, an increasing number of cyber vulnerabilities will be found throughout the supporting systems. While the traditional IT industry has a long history of dealing with vulnerability disclosures, however, recent discoveries within control system software have shown the power industry still lacks sufficient polices and approaches. This paper introduces current vulnerability disclosure methods, including full disclosure, limited disclosure, and non-disclosure. It then provides a comparison of disclosure policies by both vendors and disclosure coordinators. Finally, it addresses industry specific characteristics which may impact domain-specific disclosure policies and identifies requirements for improving disclosure methods.",1932-5517;19325517,Electronic:978-1-4673-2729-9; POD:978-1-4673-2727-5; USB:978-1-4673-2728-2,10.1109/PESGM.2012.6345603,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6345603,,Computer security;Control systems;Electronic mail;Google;Industries;Software,electricity supply industry;power system control;smart power grids,control system software;current vulnerability disclosure;cyber vulnerability disclosure policy;disclosure coordinators;domain-specific disclosure policy;power industry;smart grid;traditional IT industry,,0,,19,,,,22-26 July 2012,,IEEE,IEEE Conferences
Power supply synchronization without communication,L. A. B. TÃ´rres; J. P. Hespanha; J. Moehlis,"Department of Electronic Engineering, Universidade Federal de Minas Gerais, Brazil",2012 IEEE Power and Energy Society General Meeting,20121110,2012,,,1,6,"We consider the synchronization of power supplies in an isolated grid with multiple small-to-medium power sources. We show how to achieve a coordinated or synchronized behavior by imposing suitable dynamical behaviors to the controlled converters that interface each power source with the local power bus, without any explicit exchange of information among the power supply units. This approach avoids the need for an independent communication network and therefore improves the overall system reliability. The method proposed to achieve synchronization does not rely on the common approach of mimicking the dynamical behavior of interconnected synchronous generators.",1932-5517;19325517,Electronic:978-1-4673-2729-9; POD:978-1-4673-2727-5; USB:978-1-4673-2728-2,10.1109/PESGM.2012.6344905,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6344905,,Inverters;Oscillators;Power supplies;Synchronization;Voltage control;Voltage measurement,electricity supply industry;power convertors;power grids;power system reliability;power system stability,controlled converters;independent communication network;interconnected synchronous generators;isolated grid;local power bus;overall system reliability;power source;power supply synchronization;power supply units;small-to-medium power sources,,13,1,15,,,,22-26 July 2012,,IEEE,IEEE Conferences
The standardization of distribution grid communication networks,Z. Li; F. Yang; D. Ishchenko,"ABB US Corp. Research Center 940 Main Campus Dr. Suite 200, Raleigh NC, 27606, United States",2012 IEEE Power and Energy Society General Meeting,20121110,2012,,,1,8,"This paper reviews the recent development in the distribution utility communication networks including the advanced metering infrastructure (AMI) and the supervisory control and data acquisition (SCADA) system. The standardizations of application level communication protocols in both AMI and SCADA systems are the major focus of this paper. In addition, some smart grid applications facilitated by the advances in the distribution communication networks are also discussed.",1932-5517;19325517,Electronic:978-1-4673-2729-9; POD:978-1-4673-2727-5; USB:978-1-4673-2728-2,10.1109/PESGM.2012.6345482,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6345482,AMI;Communication Protocol;SCADA;Smart Grid,Data models;Electricity;IEC standards;Protocols;Smart grids,SCADA systems;automatic meter reading;power distribution economics;protocols;smart power grids;standardisation,AMI;SCADA;advanced metering infrastructure;application level communication protocol;distribution grid communication network;distribution utility communication network;smart grid;standardization;supervisory control and data acquisition,,0,,39,,,,22-26 July 2012,,IEEE,IEEE Conferences
Risk assessment based on information entropy of cascading failure in power systems,Y. Jia; Z. Xu,,2012 IEEE Power and Energy Society General Meeting,20121110,2012,,,1,5,"Along with the high pace of power network interconnection development in recent years, power system operational uncertainty is increasing rapidly and system dynamic behavior is becoming more and more complicated, which makes the risk assessment of cascading failures and catastrophic events in power systems more challenging. Therefore advanced methods of high reliability to assess risks of cascading failures under various power systems operation conditions need be developed. In this paper, a risk assessment framework for cascading failures based on the information entropy principle has been developed. The developed method aims at identifying the worst case cascading development among all other possibilities to support system operators in preparing countermeasures accordingly beforehand. A case study of cascading failure analysis for IEEE 30-bus system is carried out in details. N-1 contingencies are selected as the initiating events of cascading failures. The weighting factors of all types of severity (i.e. transmission line overload, bus voltage violation, real/reactive power violation of generators) are determined by entropy principle, as compared with conventional methods which use fixed values according to expertise information with different focus. Finally, the feasibility and effectiveness of this proposed approach are demonstrated through MATLAB. The results show a high potential of this proposed method for further research and application.",1932-5517;19325517,Electronic:978-1-4673-2729-9; POD:978-1-4673-2727-5; USB:978-1-4673-2728-2,10.1109/PESGM.2012.6345359,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6345359,cascading failure;entropy principle;risk assessment;severity indices,Entropy;Indexes;Power system faults;Power system protection;Power transmission lines;Risk management,failure analysis;power system interconnection;power system reliability;power transmission lines;reactive power;risk management,IEEE 30-bus system;N-1 contingency;bus voltage violation;cascading failure analysis;catastrophic events;generators;information entropy;power network interconnection;power system operational uncertainty;power systems;reactive power violation;reliability;risk assessment;transmission line overload;worst case cascading development,,0,,15,,,,22-26 July 2012,,IEEE,IEEE Conferences
Hybrid cloud computing platform: The next generation IT backbone for smart grid,F. Luo; Z. Y. Dong; Y. Chen; Y. Xu; K. Meng; K. P. Wong,"Center of Intelligent Electricity Networks (CIEN), The University of Newcastle, Callaghan, NSW 2308, Australia",2012 IEEE Power and Energy Society General Meeting,20121110,2012,,,1,7,"This paper discusses the prospective of applying cloud computing technologies in the development of smart grid. Firstly, the conceptions of cloud computing are introduced, and then a hybrid cloud computing platform for smart grid is designed. After that, the distinguished characteristics of the proposed platform are explained in detail, following with the introduction of some potential power system applications. Finally, some notable state-of-the-art products that can be used to build the proposed platform are introduced.",1932-5517;19325517,Electronic:978-1-4673-2729-9; POD:978-1-4673-2727-5; USB:978-1-4673-2728-2,10.1109/PESGM.2012.6345178,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6345178,Cloud Computing;Distributed Computing;Smart Grid,Cloud computing;Computational modeling;Data models;Power system stability;Smart grids,cloud computing;power engineering computing;smart power grids,hybrid cloud computing platform;next generation IT backbone;power system applications;smart grid,,1,,32,,,,22-26 July 2012,,IEEE,IEEE Conferences
White paper: Grid code and nuclear safety,O. Sobott,"AREVA NP GmbH, Kaiserleistrasse 29, 63067 Offenbach, Germany",2012 IEEE Power and Energy Society General Meeting,20121110,2012,,,1,3,"The impact of grid code requirements to the design of nuclear power plants with the focus on the nuclear island and the design of the safety systems is described. Grid reliability, voltage and frequency variations are the main aspects to be considered. Nuclear power plants depend heavily on the grid availability and its quality of voltage and frequency. Changes in grid behavior as a consequence of e.g. deregulation of the market, introduction of renewable power production with high variation in production (like wind and solar) and higher utilization of the grid could have an impact on the nuclear safety, especially if older plants (some are in operation for more than 40 years) have not been designed for these conditions.",1932-5517;19325517,Electronic:978-1-4673-2729-9; POD:978-1-4673-2727-5; USB:978-1-4673-2728-2,10.1109/PESGM.2012.6345076,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6345076,fault ride through;frequency deviation;grid;grid code;grid reliability;voltage variation,Accidents;Generators;Inductors;Power generation;Production;Reliability;Safety,codes;electrical safety;nuclear power stations;power generation reliability;power supply quality;safety systems,frequency quality;frequency variation;grid code requirement;grid reliability;grid utilization;market deregulation;nuclear island;nuclear power plant safety system;plants voltage quality;renewable power production;voltage variation;white paper,,0,,,,,,22-26 July 2012,,IEEE,IEEE Conferences
NERC's transmission availability data system and analysis,M. G. Lauby; J. J. Bian; A. D. Slone,"North American Electric Reliability Corporation (NERC), Atlanta, GA, USA",2012 IEEE Power and Energy Society General Meeting,20121110,2012,,,1,6,"On a NERC-wide average basis, the automatic transmission outage rate has improved from 2008 to 2010. Considering both automatic and non-automatic outages, 2010 records indicate transmission element availability percentage exceeds 95%. Unexpectedly, almost one-third of all sustained, automatic outages are dependent or common mode events. Though a number of protection systems are intended to trip three or more circuits, many events go beyond their design basis. In addition, a number of multiple outage events were initiated by protection system misoperations. These events, which go beyond their design expectations and operating procedures, represent a tangible threat to reliability. A deeper review of the root causes of dependent and common mode events, which include three or more automatic outages, is a high priority for NERC and the industry. More focus into this problem would improve the design basis assumed for reliable operation of the system.",1932-5517;19325517,Electronic:978-1-4673-2729-9; POD:978-1-4673-2727-5; USB:978-1-4673-2728-2,10.1109/PESGM.2012.6344616,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6344616,Bulk Power System;Data Collection;Outage Data;Reliability;Transmission,Availability;Integrated circuit interconnections;Market research;Power system reliability;Substations,power transmission faults;power transmission protection;power transmission reliability,NERC transmission availability data system;automatic transmission outage rate;common mode events;multiple outage events;power transmission protection systems;reliability;transmission element availability,,5,,6,,,,22-26 July 2012,,IEEE,IEEE Conferences
"Development of power system test bed for data mining of synchrophasors data, cyber-attack and relay testing in RTDS",U. Adhikari; T. H. Morris; N. Dahal; S. Pan; R. L. King; N. H. Younan; V. Madani,"Mississippi State University, Mississippi State, MS 39762 USA",2012 IEEE Power and Energy Society General Meeting,20121110,2012,,,1,7,"This paper describes the development of a hardware-in-the-loop Real Time Digital Simulator (RTDS) enabled power system test bed used to support various types of research. Lack of access to actual utility synchrophasors data at the university level hinders studies on various subjects of interest including power system event detection, situational awareness, wide area monitoring and control, and cyber security. This paper explains a way to facilitate the researcher with reliable synchrophasor data and a power system test bed for different applications such as event detection, and cyber security resiliency studies. Various power system events and scenarios are modeled and simulation results are presented.",1932-5517;19325517,Electronic:978-1-4673-2729-9; POD:978-1-4673-2727-5; USB:978-1-4673-2728-2,10.1109/PESGM.2012.6345109,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6345109,PMU;RSCAD;RTDS;Synchrophasor;cyber security;data mining,Circuit faults;Generators;Phasor measurement units;Power systems;Real-time systems;Relays;Voltage measurement,data mining;phasor measurement;power engineering computing;power system interconnection;power system relaying;power system security,RTDS;cyber-attack;data mining;hardware-in-the-loop real time digital simulator;power system event detection;power system interconnections;power system test bed development;relay testing;situational awareness;synchrophasors data;university level hinders;wide area monitoring,,6,,34,,,,22-26 July 2012,,IEEE,IEEE Conferences
"Cyber security recommendations for wide area monitoring, protection, and control systems",T. H. Morris; S. Pan; U. Adhikari,"Department of Electrical and Computer Engineering. Mississippi State University, Mississippi State, MS 39762 USA",2012 IEEE Power and Energy Society General Meeting,20121110,2012,,,1,6,"Synchrophasor systems are being added to modern power systems to facilitate improved wide area monitoring and wide area protection schemes. As synchrophasor systems are installed utilities must decide if new cyber devices, phasor measurement units and phasor data concentrators, will be declared as The US National Electric Reliability Council (NERC) Critical Infrastructure Protection (CIP) cyber critical assets. This paper explores the potential impact of reconnaissance attacks, packet injection attacks, and denial of service attacks on wide area monitoring systems and wide area protection systems. This paper was written to accompany a panel presentation and discussion and was not intended to provide new research results.",1932-5517;19325517,Electronic:978-1-4673-2729-9; POD:978-1-4673-2727-5; USB:978-1-4673-2728-2,10.1109/PESGM.2012.6345127,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6345127,cyber security;phasor data concentrator;phasor measurement unit;synchrophasor,Computer crime;Control systems;Monitoring;Phasor measurement units;Protocols;Testing,power system control;power system measurement;power system protection;power system reliability,CIP cyber critical asset;NERC;US National Electric Reliability Council;control system;critical infrastructure protection cyber critical asset;cyber device;cyber security recommendation;phasor data concentrators;phasor measurement units;power systems;synchrophasor systems;wide area monitoring systems;wide area protection scheme,,3,,13,,,,22-26 July 2012,,IEEE,IEEE Conferences
NERC's risk assessment of reliability performance,M. G. Lauby; J. J. Bian; A. D. Slone,"North American Electric Reliability Corporation (NERC), Atlanta, GA, USA",2012 IEEE Power and Energy Society General Meeting,20121110,2012,,,1,6,"This paper presents a set of risk-based condition-driven indicators that focus on measurable system conditions to assess bulk power system reliability. These reliability metrics identify factors that positively or negatively impact reliability and are early predictors of the risk to reliability from events. A collection of these indicators measures how far reliability performance is from desired outcome, and if the performance is headed in the preferred direction. Among the eighteen metrics that address the characteristics of an adequate level of reliability (ALR) developed by NERC, seven metrics are improving based on metric trends, indicating the bulk power system is performing better during the time frame analyzed. The remaining metrics do not have sufficient data to derive useful conclusions, or currently lack data. With a more thorough data matrix for these metrics, more conclusions about reliability will be ascertained.",1932-5517;19325517,Electronic:978-1-4673-2729-9; POD:978-1-4673-2727-5; USB:978-1-4673-2728-2,10.1109/PESGM.2012.6345166,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6345166,Bulk Power System;Reliability Metrics;Reliability Performance;Risk Assessment,Indexes;Market research;Measurement;Planning;Power system reliability;Reliability,power system management;power system measurement;power system reliability;risk management,ALR;NERC risk assessment;bulk power system reliability performance;metric trends;risk-based condition-driven indicators,,1,,11,,,,22-26 July 2012,,IEEE,IEEE Conferences
A control strategy to fast relieve overload in a self-healing smart grid,Z. Jiao; K. Men; J. Zhong,"Dept. of Electr. & Electron. Eng., Univ. of Hong Kong, Hong Kong, China",2012 IEEE Power and Energy Society General Meeting,20121110,2012,,,1,7,"Self-healing is one of the characteristics of smart grid. The self-healing functions could enable a power grid to detect the event in advance and restore the system after contingencies with minimum damages. In this paper a control strategy to fast relieve overload in the self-healing smart grid is proposed. The basic principle of the control strategy is to redistribute power flow of a contingency transmission line to other lines by using unified power flow controller (UPFC). To implement the control strategy, distributed steady-state network and wide-area measurement (WAM) - based nodal analysis are proposed and applied to redistribute power flow. The proposed WAM-based nodal analysis is carried on to relieve overload quickly and effectively while realize the control objective accurately. Moreover, grid simplification based on controllable region analysis is applied to reduce computation burden. IEEE 39-bus test system based simulation is applied to verify the proposed control strategy. The results show that the control strategy can relieve overload quickly and effectively. Thus it could be an online controller for a self-healing smart grid to deal with harmful contingencies.",1932-5517;19325517,Electronic:978-1-4673-2729-9; POD:978-1-4673-2727-5; USB:978-1-4673-2728-2,10.1109/PESGM.2012.6345042,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6345042,Contingency;Emergency control;Overload;Self-healing;Smart grid;UPFC;WAMS,Generators;Load flow;Manganese;Reactive power;Smart grids;Steady-state;Voltage control,IEEE standards;fault tolerant computing;load flow control;power distribution control;power system measurement;power system restoration;power transmission control;power transmission lines;smart power grids,IEEE 39-bus test system;UPFC;WAM;contingency transmission line;controllable region analysis;distributed steady-state network;fast relieve overload control strategy;nodal analysis;power flow redistribution;self-healing smart power grid;system restoration;unified power flow controller;wide-area measurement,,0,,25,,,,22-26 July 2012,,IEEE,IEEE Conferences
Engineering resilient cyber-physical systems,T. J. Overbye,"Electrical and Computer Engineering, University of Illinois, Urbana-Champaign",2012 IEEE Power and Energy Society General Meeting,20121110,2012,,,1,1,"This panel session paper outlines one of the research thrust areas in the Power System Engineering Research Center's (PSERC) new initiative funded by the US Department of Energy (DOE) to investigate requirements for a systematic transformation of today's electric grid to enable high penetrations of sustainable energy systems. The proposed research under this thrust area looks at the general issue of power grid resiliency. The presentation has three focus areas. First, resiliency with respect to low probably, but high impact events. Second, operational and planning considerations to improve resiliency. Last, consideration of how interactive system control can be used to improve system resiliency.",1932-5517;19325517,Electronic:978-1-4673-2729-9; POD:978-1-4673-2727-5; USB:978-1-4673-2728-2,10.1109/PESGM.2012.6344943,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6344943,Future Grid Initiative;Resilient Power Systems,Control systems;Planning;Power grids;Power system faults;Power system protection;US Department of Energy,power grids,DOE;PSERC;Power System Engineering Research Center;US Department of Energy;electric grid;engineering resilient cyber-physical systems;interactive system control;power grid resiliency;sustainable energy systems,,2,,,,,,22-26 July 2012,,IEEE,IEEE Conferences
A mathematic framework for analysis of complex cyber-physical power systems,R. M. Kolacinski; K. A. Loparo,"Department of Electrical Engineering and Computer Science and Great lakes Energy Institute, Case Western Reserve University, Cleveland, OH, 44106 USA",2012 IEEE Power and Energy Society General Meeting,20121110,2012,,,1,8,"Developing technology and systems for future power systems requires an evolutionary approach where new â€œsmartâ€ù grid technologies can be seamlessly integrated with the existing infrastructure and the ongoing overlay of new sensing and communication systems. As the diversity of these new technologies increases, the robust and secure operation of the grid will become dependent upon a detailed understanding of both physical and cyber components as well as their interactions. This paper focuses on the development of a mathematical framework and computational methodology that can be used to evaluate the stability and operational security of a complex cyber-physical power system in the context of stochastic hybrid dynamical systems, and proposes an approach based on embedding and symbolic dynamics that can be used to analyze complex system behaviors by encoding the system dynamics into symbol strings.",1932-5517;19325517,Electronic:978-1-4673-2729-9; POD:978-1-4673-2727-5; USB:978-1-4673-2728-2,10.1109/PESGM.2012.6344956,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6344956,Cyber-Physical System;Distributed Renewable Energy Resources;hybrid dynamical system;power system;stability;symbolic dynamics,Computational modeling;Mathematical model;Power system dynamics;Power system stability;Security;Stochastic processes,evolutionary computation;power system security;power system stability;smart power grids;stochastic systems,communication systems;complex cyber-physical power system analysis;complex cyber-physical power system operational security;complex cyber-physical power system stability;cyber components;encoding;evolutionary approach;mathematic framework;smart grid technology;stochastic hybrid dynamical systems;symbol strings,,4,,19,,,,22-26 July 2012,,IEEE,IEEE Conferences
A pre-procedure of bad data detection for smart grid monitoring,B. Gou; R. Kavasseri,"Dept. of Electrical and Computer Engineering, North Dakota State University, Fargo, ND 58108",2012 IEEE Power and Energy Society General Meeting,20121110,2012,,,1,6,"This paper presents a pre-procedure to detect and identify gross errors including topology errors for state estimation in smart grid. This pre-procedure is characterized to be fast The key idea behind the procedure is the concept of a solving path, which avoids the chance of divergence when calculating system states using all the measurments in traditional state estimation algorithms. An integer linear programming (ILP) formulation is used to select the solving paths. After a solving path is identified, an error analysis procedure (immune to topology errors) is developed to detect, identify and eliminate gross measurement errors. The subsequent measurement set is used as input to the weighted least squares (WLS) state estimation. The proposed approach is illustrated on the IEEE 14 and 118 bus test systems.",1932-5517;19325517,Electronic:978-1-4673-2729-9; POD:978-1-4673-2727-5; USB:978-1-4673-2728-2,10.1109/PESGM.2012.6345554,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6345554,Integer Programming;Phasor Measurement Unit;Solving Path;State Estimation,Current measurement;Measurement uncertainty;Noise measurement;Phasor measurement units;State estimation;Topology;Voltage measurement,error analysis;integer programming;least squares approximations;linear programming;measurement errors;phasor measurement;power system state estimation;smart power grids,IEEE 118 bus test systems;IEEE 14 bus test systems;bad data detection;error analysis;gross errors;gross measurement errors;integer linear programming;power system state estimation;smart grid monitoring;solving paths;topology errors;weighted least squares,,2,,33,,,,22-26 July 2012,,IEEE,IEEE Conferences
Electric Energy Challenges of the Future,G. T. Heydt,"Department of Electrical, Computer, and Energy Engineering at Arizona State University, Tempe, AZ 85287",2012 IEEE Power and Energy Society General Meeting,20121110,2012,,,1,2,"This is a panel presentation which is part of a full panel entitled ""The Future Grid to Enable Sustainable Energy Systems."" The presentation is a description of `Thrust area #1' of a U. S. Department of Energy initiative on the future grid. Thrust area #1 is entitled â€œElectric Energy Challenges of the Future.â€ù This thrust area relates to the design, operation, and conjectural configuration of the electric transmission grid in the United States to the year 2050. The main subjects discussed are: the actual configuration of the grid; the use of HVDC in the grid; the use of advanced overhead conductor technologies; the development of energy storage and its impact; a discussion of various `what if' scenarios, and the impact of those scenarios on the transmission grid. Part of the work described relates to system operation.",1932-5517;19325517,Electronic:978-1-4673-2729-9; POD:978-1-4673-2727-5; USB:978-1-4673-2728-2,10.1109/PESGM.2012.6344745,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6344745,energy storage;high temperature low sag conductors;high voltage DC;power system operation;transmission engineering;transmission expansion planning,Computers;Conductors;Educational institutions;Energy storage;Games;Planning;Power systems,HVDC power transmission;energy storage;overhead line conductors;power grids;power overhead lines,HVDC;advanced overhead conductor technology;electric energy;electric transmission grid;energy storage;sustainable energy systems,,0,,2,,,,22-26 July 2012,,IEEE,IEEE Conferences
A smart grid vulnerability analysis framework for coordinated variable structure switching attacks,S. Liu; S. Mashayekh; D. Kundur; T. Zourntos; K. L. Butler-Purry,"Department of Electrical and Computer Engineering, Texas A&M University, College Station, Texas 77843-3128, USA",2012 IEEE Power and Energy Society General Meeting,20121110,2012,,,1,6,"In this paper we have proposed an approach for vulnerability analysis of a class of cyber-physical reconfiguration attacks called coordinated variable structure switching. In such an attack, an opponent who gains control over a target circuit breaker, relay or switch can apply a given switching sequence to destabilize the system even if the system is stable in static switch positions. Our analysis approach is illustrated through a case study of the Western Electricity Coordinating Council 3-machine, 9-bus system. MATLAB and PSCAD<sup>Â®</sup> simulations are employed to validate the approach. Moreover the insights gained from the vulnerability analysis of the WECC system are consistent with intuition.",1932-5517;19325517,Electronic:978-1-4673-2729-9; POD:978-1-4673-2727-5; USB:978-1-4673-2728-2,10.1109/PESGM.2012.6344617,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6344617,Hybrid mini-grid systems;Renewable Energy;Rural electrification;real-time pricing;smart grid;tariff,Power system dynamics;Power system stability;Switches;Switching circuits;Variable structure systems;Vectors,power system security;smart power grids,"Matlab simulation;PSCAD simulations;WECC system;Western Electricity Coordinating Council 3-machine, 9-bus system;coordinated variable structure switching attacks;cyber-physical reconfiguration attacks;smart grid vulnerability analysis framework;static switch positions;switching sequence;target circuit breaker",,4,,5,,,,22-26 July 2012,,IEEE,IEEE Conferences
A project to develop a trustworthy cyber infrastructure for the power grid (TCIPG),P. W. Sauer; W. H. Sanders,"University of Illinois at Urbana-Champaign, Urbana, IL 61801, USA",2012 IEEE Power and Energy Society General Meeting,20121110,2012,,,1,2,"This panel presentation discusses the research and education efforts of a center-scale project to develop a secure environment for the electric power grid of the future. It involves five universities, numerous companies, and collaboration between electrical engineers, computer engineers, computer scientists, and education specialists. In 2005, this team embarked on an ambitious project to investigate the security and resilience of the cyber infrastructure associated with the existing electric power grid and future expansions. The presentation will give a status update of this work and prospects for future work.",1932-5517;19325517,Electronic:978-1-4673-2729-9; POD:978-1-4673-2727-5; USB:978-1-4673-2728-2,10.1109/PESGM.2012.6345765,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6345765,Cyber Physical Systems;Cyber Security;Power System Cyber Infrastructure,Collaboration;Computers;Educational institutions;Industries;Power grids,power grids;power system security,center-scale project;companies;computer engineers;computer scientists;cyber infrastructure resilience;cyber infrastructure security;education specialists;electric power grid;electrical engineers;trustworthy cyber infrastructure;universities,,0,,,,,,22-26 July 2012,,IEEE,IEEE Conferences
Two-tier hierarchical cyber-physical security analysis framework for smart grid,J. Wei; D. Kundur,"Department of Electrical and Computer Engineering, Texas A&M University, College Station, TX 77843, USA",2012 IEEE Power and Energy Society General Meeting,20121110,2012,,,1,5,"We propose a two-tier hierarchical cyber-physical framework for analyzing transient stability in the smart grid in the face of cyber-physical attack. We model the smart grid as a networked multi-agent dynamical system in which each agent includes multiple generators, measurement devices and local control. The agents interact with each other through cyber-physical integrated coordination and the generators within the same agent interact through the physical couplings. We present a cyber-physical flocking-based protocol to address the issue of system faults. We extend this work to derive a spectral matrix based generator coherency identification algorithm to analyze the coherency amongst synchronized generators after fault clearing. Generators with high coherency are grouped in an agent while those with low coherency form another. For each agent, the generator having highest inertia is selected as the lead component. In order to reduce the required communication and energy of the control protocol, cyber interaction between agents is realized by coupling only lead generators. By using our developed flocking-based protocol, all the lead generators achieve consensus to the desired nominal frequency and their phase angles achieve phase cohesiveness. Subsequently secondary generators within each agent are able track these stabilizing lead dynamics due to strong physical couplings. Simulation results are presented to support the proposed framework.",1932-5517;19325517,Electronic:978-1-4673-2729-9; POD:978-1-4673-2727-5; USB:978-1-4673-2728-2,10.1109/PESGM.2012.6345633,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6345633,,Couplings;Generators;Laplace equations;Power system stability;Smart grids;Stability analysis;Transient analysis,electric generators;multi-agent systems;power engineering computing;power system faults;power system transient stability;protocols;security of data;smart power grids,control protocol;cyber interaction;cyber-physical attack;cyber-physical flocking-based protocol;cyber-physical integrated coordination;fault clearing;lead component;lead generators;measurement devices;multiple generators;networked multiagent dynamical system;nominal frequency;phase angles;phase cohesiveness;physical couplings;secondary generators;smart grid;spectral matrix-based generator coherency identification algorithm;synchronized generators;system faults;transient stability analysis;two-tier hierarchical cyber-physical security analysis framework,,5,,6,,,,22-26 July 2012,,IEEE,IEEE Conferences
Location and communication routing optimization of trust nodes in smart grid network infrastructure,Y. Zhang; W. Sun; L. Wang,"Department of Electrical Engineering and Computer Science, University of Toledo, Toledo, OH 43606",2012 IEEE Power and Energy Society General Meeting,20121110,2012,,,1,8,"The imposed communication network brings more vulnerabilities to the evolving smart grid. Therefore, defensive techniques such as intrusion detection will need to be deployed and used in this already complicated system. Deployment and runtime cost due to the defensive systems will affect the normal function of smart grid system without careful planning and design. This paper is an effort to address this issue. In particular, we apply the set packing algorithm to optimize (minimize) the placement of the trust nodes of the defensive system in the multiple layer architecture of the smart grid. After the trust nodes are placed, a Dijkstra's based optimal routing algorithm is used to find the least cost routing between the communications of the nodes. Simulation results demonstrate that our approach is promising in decreasing the overall cost while keeping the security of the smart grid system.",1932-5517;19325517,Electronic:978-1-4673-2729-9; POD:978-1-4673-2727-5; USB:978-1-4673-2728-2,10.1109/PESGM.2012.6345688,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6345688,cyber security;multiple-layer system;optimal location;optimal routing;smart grid;trust node,Algorithm design and analysis;Communication networks;Intrusion detection;Routing;Smart grids;Wide area networks,optimisation;power engineering computing;power system economics;security of data;smart power grids;telecommunication network routing,Dijkstra-based optimal routing algorithm;communication routing optimization;defensive systems;least cost routing;location optimization;multiple layer architecture;nodes communications;normal function;set packing algorithm;smart grid network infrastructure;trust nodes,,1,,20,,,,22-26 July 2012,,IEEE,IEEE Conferences
Power sharing and control in distributed generation with wireless sensor networks,R. Majumder; G. Bag; K. H. Kim,ABB CORPORATE RESEARCH,2012 IEEE Power and Energy Society General Meeting,20121110,2012,,,1,1,"Summary form only given. This paper proposes application of wireless sensor networks in distributed generation. Furthermore in order to have a reliable communication with minimal end to end delay during the event of next hop node failure the paper proposes Find Reliable Link (FRL) scheme. Power sharing can be improved significantly in a conventional decentralized power control by correcting the distributed generators reference signals with wireless sensor networks as proposed in this paper. Even a low bandwidth communication among the distributed generators and control center can overcome the system operation challenges posed by network line parameters, failure of distributed generators and power shortage in the system. In order to ensure reliable communication between the sensor nodes or distributed generators and control center the paper proposes FRL scheme. The scheme aims to enable the system to make a quick recovery from sensor node failures or link failure due to obstacles thereby reducing the end to end delay. The proposed communication scheme is verified by implementing it in Qualnet 5.0. A detail data traffic analysis is presented to demonstrate how reliability is improved in the proposed communication method. Closed loop simulation of communication network with distributed power sources also validates the reliability of the proposed schemes.",1932-5517;19325517,Electronic:978-1-4673-2729-9; POD:978-1-4673-2727-5; USB:978-1-4673-2728-2,10.1109/PESGM.2012.6344966,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6344966,,Delay;Distributed power generation;Educational institutions;Generators;Power control;Reliability;Wireless sensor networks,closed loop systems;distributed power generation;power control;power generation reliability;wireless sensor networks,FRL scheme;Qualnet 5.0;closed loop simulation;control center;data traffic analysis;decentralized power control;distributed generator reference signals;distributed power sources;find reliable link scheme;link failure;low bandwidth communication;next hop node failure;power sharing;power shortage;reliable communication;sensor node failures;wireless sensor networks,,4,,,,,,22-26 July 2012,,IEEE,IEEE Conferences
